id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
651475,"Comfortable, clean & quiet in EV",2019-11-20,Manhattan,Gramercy,92.0,10.0,9.0,40.73337,-73.984,Apartment,Private room,2,1,1,0,109.0,150.0,50.0,1,1,52,2019-11-20,3.98,350,277,0
654612,THE HEART OF ART IN THE HEART OF NY,2019-11-03,Manhattan,Hell's Kitchen,92.0,10.0,9.0,40.768029999999996,-73.98767,Apartment,Entire home/apt,2,1,1,0,160.0,300.0,45.0,2,2,6,2019-11-03,1.0,87,235,0
657727,"Bright, Quiet 2 BR in Awesome Area!",2019-11-17,Manhattan,Upper West Side,90.0,10.0,9.0,40.781940000000006,-73.98248000000001,Apartment,Entire home/apt,2,1,2,0,197.0,100.0,100.0,2,1,32,2019-11-17,1.37,120,209,0
658515,A nice quiet room in Manhattan,2019-10-20,Manhattan,East Harlem,97.0,9.0,9.0,40.8014,-73.94360999999999,Apartment,Private room,2,1,1,0,110.0,100.0,30.0,1,2,8,2019-10-20,0.5,44,353,0
671633,REDUCED! Private Apt~Fun NYC area!,2019-11-01,Manhattan,Upper East Side,92.0,10.0,9.0,40.77382,-73.95088,Apartment,Entire home/apt,2,1,0,0,147.0,250.0,66.0,2,2,14,2019-11-01,0.62,53,332,0
681518,Artist room for creative nomads,2019-11-17,Manhattan,Upper West Side,91.0,10.0,9.0,40.801140000000004,-73.96378,Apartment,Private room,1,1,1,0,95.0,0.0,20.0,1,2,32,2019-11-17,2.57,227,153,0
686696,duplex with backyard upper eastside,2019-11-06,Manhattan,Upper East Side,94.0,10.0,9.0,40.78002,-73.95211,Apartment,Private room,4,2,2,0,250.0,0.0,0.0,1,2,11,2019-11-06,0.95,66,176,0
697923,Cute & Cozy Room - Hell's Kitchen ️‍ (w/ dog),2019-11-29,Manhattan,Hell's Kitchen,97.0,10.0,10.0,40.76422,-73.99382,Apartment,Private room,2,1,1,0,75.0,100.0,40.0,1,2,22,2019-11-29,2.22,187,63,0
700530,Charming South Village w/ Private Terrace,2019-11-21,Manhattan,SoHo,99.0,10.0,10.0,40.72756,-74.00239,Apartment,Entire home/apt,2,1,0,320,230.0,0.0,75.0,1,2,19,2019-11-21,1.52,37,19,0
721663,5* Large NYC 1 Bed Condo/ Loft in Flatiron/NoMad,2019-11-25,Manhattan,Midtown,95.0,10.0,9.0,40.74344,-73.98371,Condominium,Entire home/apt,2,1,1,0,399.0,500.0,150.0,1,1,20,2019-11-25,0.98,74,350,0
735677,CHIC Apt in TRENDY East Village,2019-12-02,Manhattan,East Village,98.0,10.0,10.0,40.72849,-73.98040999999999,Apartment,Entire home/apt,3,1,1,0,249.0,0.0,120.0,2,2,45,2019-12-02,4.53,136,122,0
747316,Charming Manhattan Pied-a-Terre,2019-12-02,Manhattan,Upper West Side,97.0,9.0,10.0,40.79965,-73.96051999999999,Apartment,Private room,2,1,1,0,85.0,150.0,75.0,1,2,26,2019-12-02,0.97,66,66,0
767286,Last-Minute Bookings 1-Bedroom Apt,2019-12-01,Manhattan,Upper West Side,88.0,10.0,9.0,40.79756,-73.97242,Apartment,Private room,2,1,1,0,100.0,0.0,0.0,1,1,20,2019-12-01,0.66,56,356,0
773993,Upper East Side Oasis!,2019-11-05,Manhattan,Upper East Side,96.0,10.0,10.0,40.77032,-73.95331,Apartment,Private room,2,1,1,0,85.0,250.0,60.0,1,2,32,2019-11-05,2.13,153,159,0
782554,Great West Village 1 bdr apartment!,2019-11-23,Manhattan,West Village,95.0,10.0,9.0,40.73364,-74.00539,Apartment,Entire home/apt,3,1,1,0,286.0,2000.0,100.0,1,2,13,2019-11-23,0.94,74,51,0
784169,"Sunny, Gorgeous West Village Home",2019-10-18,Manhattan,West Village,95.0,10.0,9.0,40.73186,-74.00329,Apartment,Private room,2,1,1,0,160.0,500.0,75.0,1,1,16,2019-10-18,1.83,157,348,0
785508,**Experience New York - A Locals Way,2019-11-08,Manhattan,Washington Heights,93.0,9.0,9.0,40.84448,-73.93978,Apartment,Private room,3,1,1,0,85.0,0.0,50.0,2,2,21,2019-11-08,2.61,222,79,0
786685,Big Brnstn Grdn Apt 2 stops to Midtown,2019-11-17,Manhattan,Harlem,97.0,10.0,9.0,40.82294,-73.94999,Apartment,Entire home/apt,6,1,1,0,225.0,300.0,75.0,4,1,27,2019-11-17,0.86,64,305,0
786955,West Village - Gorgeous Studio Apt.,2019-11-28,Manhattan,West Village,93.0,10.0,9.0,40.73403,-74.00298000000001,Apartment,Entire home/apt,2,1,0,0,210.0,1000.0,85.0,1,1,18,2019-11-28,1.34,114,332,0
