id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
424767,"Chic, Spacious Loft + Backyard",2019-11-17,Manhattan,Midtown,99.0,10.0,10.0,40.74406,-73.98273,Loft,Entire home/apt,4,1,0,1200,325.0,0.0,100.0,2,2,33.0,2019-11-17,2.29,212,220,52
436619,"Tranquil, Artsy, Sunny Bedroom",2019-11-23,Manhattan,East Village,96.0,10.0,10.0,40.72507,-73.98861,Apartment,Private room,2,1,1,750,110.0,350.0,65.0,1,2,26.0,2019-11-23,0.93,83,255,56
436824,Room in Harlem,2019-10-14,Manhattan,Harlem,95.0,10.0,9.0,40.82726,-73.9444,Apartment,Private room,2,1,1,0,70.0,0.0,0.0,1,1,4.0,2019-10-14,0.3,18,349,39
449130,Your Own Private Entrance Studio in Stylish Duplex,2019-11-28,Manhattan,Harlem,98.0,10.0,10.0,40.8179,-73.94319,Apartment,Private room,4,1,1,0,94.0,0.0,10.0,2,1,71.0,2019-11-28,1.3,120,53,41
454929,UNION SQUARE❤️PENTHOUSE 2FL+TERRACE❤️EAST VIllAGE,2019-10-21,Manhattan,East Village,97.0,10.0,9.0,40.72981,-73.98318,Apartment,Entire home/apt,2,1,2,900,239.0,0.0,99.0,2,2,19.0,2019-10-21,1.3,72,72,33
456190,"West Village Loft, 1st floor",2019-11-22,Manhattan,West Village,92.0,10.0,9.0,40.73357,-74.00723,House,Entire home/apt,2,1,1,0,174.0,247.0,97.0,2,2,49.0,2019-11-22,3.18,288,167,46
460036,Great DEAL Gramercy 1 BDROOM /2beds,2019-11-11,Manhattan,Kips Bay,80.0,9.0,8.0,40.74134,-73.98113,Apartment,Entire home/apt,4,1,1,0,129.0,250.0,50.0,2,2,8.0,2019-11-11,0.54,49,107,79
481022,Super Cute Junior 1BR in LES!!,2019-11-16,Manhattan,Lower East Side,89.0,10.0,9.0,40.7195,-73.98022,Apartment,Entire home/apt,2,1,1,0,125.0,0.0,60.0,1,1,71.0,2019-11-16,3.42,292,274,23
483485,Downtown Full Floor Loft,2019-12-04,Manhattan,Civic Center,97.0,10.0,9.0,40.71164,-74.00774,Apartment,Entire home/apt,8,1,2,0,218.0,0.0,125.0,8,2,67.0,2019-12-04,3.89,348,106,64
493177,Two Bridges District Chinatown NYC,2019-11-20,Manhattan,Chinatown,90.0,10.0,9.0,40.71668,-73.99073,Apartment,Entire home/apt,2,1,1,0,150.0,500.0,110.0,1,2,39.0,2019-11-20,1.95,174,221,71
